ID,FECHA CREACION, FECHA MODIFICACION,DENOMINACIÓN DE LOS APOYOS ECONÓMICOS,MONTO BRUTO DE LOS APOYOS ECONÓMICOS,MONTO NETO DE LOS APOYOS ECONÓMICOS,TIPO DE MONEDA DE LOS APOYOS ECONÓMICOS,PERIODICIDAD DE LOS APOYOS ECONÓMICOS
1673123658,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123745,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123748,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123832,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123834,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123911,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123913,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123988,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123991,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124074,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124077,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124625,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124626,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124659,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124660,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124681,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124682,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124713,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124715,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124745,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124747,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124775,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124777,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124808,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124810,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
